Name,Age,Gender,Hours_Studied,IQ,Physics_Marks,Math_Marks,Chemistry_Marks,Has_Part_Time_Job,Study_Hours_Group
Jason Vargas,19,Male,8.140820565,92,87,43,85,TRUE,High
Sandra Wiggins,35,Female,9.825626474,112,86,81,54,FALSE,High
Julia Olsen,33,Male,8.835371901,131,87,52,57,TRUE,High
Robert Pennington,33,Male,2.48248336,138,70,86,83,FALSE,Low
Kayla Sellers,28,Female,4.419792901,90,95,48,83,TRUE,Low
Brenda James,32,Female,2.580537408,141,69,66,59,FALSE,Low
Nancy Heath,27,Female,9.160330618,141,83,52,69,TRUE,High
Jose Herrera,27,Female,2.881403157,139,74,67,61,TRUE,Low
Lisa Joseph,39,Male,4.99318275,112,98,45,78,FALSE,Low
Wayne Lee,41,Male,1.365358101,110,43,99,96,TRUE,Low
Jessica Hernandez,43,Female,9.146131614,117,68,45,80,FALSE,High
Alyssa West,30,Male,4.176393664,89,75,78,94,TRUE,Low
Brittany Reed,38,Male,8.621853722,140,81,91,66,TRUE,High
Kimberly Johnson,22,Male,8.508133098,121,72,54,42,TRUE,High
Jaclyn Wolfe,45,Male,4.201341662,125,82,96,73,FALSE,Low
Alexander Rodriguez,30,Female,4.956886806,129,54,87,68,FALSE,Low
Timothy Poole,20,Female,7.56985472,119,100,77,57,FALSE,High
James Doyle,23,Female,6.60920683,139,92,90,70,FALSE,High
Matthew Marsh,45,Male,6.091523795,109,87,91,47,FALSE,High
Amy Bradley,40,Female,7.603723928,145,47,97,92,FALSE,High
Alyssa Sanders,29,Female,7.600522511,108,55,65,45,TRUE,High
Alicia Michael,35,Female,5.938041219,132,94,72,53,TRUE,High
Brandon Jordan,22,Female,1.261881622,124,52,80,98,FALSE,Low
Michelle Jones,41,Female,6.514339658,103,97,98,85,FALSE,High
Scott Nichols MD,26,Male,3.0088961,129,84,64,87,FALSE,Low
Shawn Martinez,42,Female,1.788678688,143,79,84,53,FALSE,Low
Maria Gonzalez,25,Female,1.514885753,112,70,71,46,FALSE,Low
Kurt Gonzalez,44,Male,8.811691732,137,43,43,89,FALSE,High
Kimberly White,42,Male,8.671168442,122,45,62,56,FALSE,High
Taylor Blankenship,36,Female,6.559889276,118,77,70,80,TRUE,High
Renee Banks,29,Female,9.033961668,135,42,80,62,FALSE,High
Wendy Cameron,27,Female,6.177017256,115,53,81,48,FALSE,High
Jacqueline Lopez,28,Female,1.004173519,121,85,59,65,FALSE,Low
Michael Hall,36,Female,2.025720203,136,63,92,99,FALSE,Low
George Bridges,37,Male,7.242847463,128,43,84,55,TRUE,High
